ROD_CISLO,MENO,PRIEZVISKO,ULICA,PSC
945411/4758,Ema,Urbanová,Jánošová 190,95801
925809/7240,Ivana,Kolníková,Martánová 133,96001
806205/6664,Jana,Koceková,Koceková 549,90101
805104/9494,Dana,Tušová,Havranová 623,03861
885701/2936,Natália,Jakabová,Zubeková 191,97401
905624/4386,Eleonóra,Abrahámová,Luptáková 254,96001
805108/2217,Vilma,Kozmonová,Kolníková 688,91101
636225/5661,Veronika,Bezáková,Chovanová 773,96001
766011/1525,Elena,Nováková,Valachová 155,91101
946022/7909,Natália,Kyselová,Chovanová 670,96901
595101/8073,Viktória,Kyselová,Móricová 686,03601
785516/4992,Marcela,Balogová,Murinová 655,03861
646208/3477,Matilda,Simonová,Papová 424,08001
525222/1590,Sona,Cajkovicová,Papová 980,08001
685314/3419,Blažena,Mikuláková,Luptáková 476,90101
536106/8212,Jaroslava,Nováková,Zipserová 865,03601
536007/3534,Paulína,Tušová,Martánová 399,05801
585614/2288,Natália,Marcinová,Pucherová 29,97101
635112/3874,Ivana,Bakošová,Konrádová 842,96901
745326/4503,Nina,Lojová,Balogová 558,96001
855127/4139,Nina,Jakabová,Pavlíková 282,08001
955521/2626,Nina,Tóthová,Fischerová 83,08001
826002/8548,Linda,Tušová,Maderová 199,01001
885817/2351,Romana,Tušová,Konrádová 35,05801
736106/7274,Ingrida,Nezvalová,Bartošová 67,03601
596007/3665,Romana,Poláková,Maderová 767,97101
715426/3429,Veronika,Nováková,Hanaková 167,01001
646021/6201,Monika,Hostáková,Bakošová 313,97101
915414/4657,Lucia,Fischerová,Puškárová 465,95801
775526/6514,Natália,Hliníková,Lojová 274,08001
785220/8153,Alica,Orlíková,Tušová 474,95801
586223/8899,Jana,Fischerová,Heretiková 632,01001
905709/5231,Alica,Kocová,Ondrášová 146,97101
785427/9457,Lenka,Bakošová,Valachová 550,96001
975716/4139,Romana,Molnárová,Kováciková 345,08001
976225/7353,Alena,Svrbíková,Puškárová 440,03601
815815/2595,Natália,Zajacová,Kollárová 354,90101
976012/6957,Lubica,Finková,Kozmonová 50,97401
796123/4702,Daniela,Hliníková,Kufová 734,03601
715608/4307,Ivana,Marcinová,Koceková 164,96001
555611/5763,Nina,Lukácová,Svrbíková 71,96001
766114/1704,Viktória,Tušová,Lukácová 862,91101
836021/3929,Elena,Danová,Pavelová 808,91101
616204/7408,Nina,Puškárová,Mráziková 996,95801
815103/3134,Laura,Tóthová,Molnárová 959,03861
855212/6942,Linda,Balážová,Martinová 297,05801
635223/6926,Elena,Palovicová,Martinová 166,08001
725510/4518,Veronika,Orlíková,Karulová 188,96901
555628/9625,Katarína,Simonová,Zajacová 524,97401
555202/4539,Sona,Richtárová,Jánošová 34,05801
565404/2194,Katarína,Chovanová,Klapacová 710,03861
945811/1849,Milena,Havranová,Holíceková 4,04001
506210/3563,Dorota,Hostáková,Cígerová 742,08001
626108/1839,Drahomíra,Nováková,Koceková 741,97101
755810/1878,Andrea,Balážová,Pavlíková 618,96901
966218/1678,Eva,Urbanová,Nováková 215,08001
705413/8397,Daniela,Sklárová,Martinová 524,05801
526006/1889,Júlia,Tušová,Kovácová 245,90101
956027/9592,Ingrida,Marcinová,Zubeková 410,03601
516027/9083,Tatiana,Martánová,Svrbíková 549,96001
555906/9782,Vanesa,Zipserová,Palovicová 446,96901
625505/8991,Malvína,Poláková,Oláhová 117,01001
635118/7389,Veronika,Kozmonová,Svrbíková 769,90101
845328/7645,Katarína,Koceková,Mráziková 310,01001
725909/2495,Darina,Bakošová,Jurášová 818,96901
796028/8680,Lenka,Papová,Maceková 839,03601
976025/2737,Jana,Némethová,Martánová 144,03601
595521/1230,Ivana,Gálisová,Orlíková 950,08001
515303/4227,Nina,Dullová,Galíková 486,90101
575609/1274,Vlasta,Nováková,Vencelová 653,90101
895228/2368,Paulína,Vencelová,Hudáková 284,01001
665504/2588,Lenka,Markovicová,Horváthová 569,90101
895108/2499,Nataša,Kollárová,Kollárová 814,91101
585216/4197,Romana,Nováková,Sklárová 391,90101
745112/8047,Monika,Abrahámová,Simonová 249,95801
675707/5639,Sofia,Havranová,Papová 915,03861
635819/2440,Alexandra,Havranová,Mráziková 927,01001
835226/9345,Anežka,Kyselová,Dusíková 975,05801
556121/3540,Tamara,Jakabová,Puškárová 677,03601
825902/7572,Katarína,Oláhová,Holíceková 106,01001
895702/4589,Miroslava,Zipserová,Bartošová 79,96001
685204/4183,Tatiana,Markovicová,Kyselová 9,08001
645118/8280,Katarína,Palovicová,Jakabová 625,08001
785117/9971,Iveta,Kollárová,Gálisová 618,95801
896010/4920,Sona,Gajdošová,Heretiková 878,01001
835322/3082,Vlasta,Skokanová,Hanaková 632,97101
585924/7415,Žofia,Finková,Fischerová 985,05801
615727/6818,Tamara,Molnárová,Cajkovicová 713,03601
596107/2712,Jana,Tatárová,Nováková 526,01001
686014/1751,Lea,Karulová,Chovanová 139,01001
996218/1262,Monika,Balážová,Vencelová 628,03601
565422/1133,Nina,Maceková,Gajdošová 401,03861
715221/3332,Vieroslava,Svrbíková,Horváthová 209,90101
735721/9319,Jana,Vencelová,Hostáková 130,08001
915820/5445,Veronika,Skokanová,Karulová 810,96901
745214/7197,Sára,Sklárová,Havranová 559,96901
716019/2734,Lenka,Tóthová,Tušová 207,96901
616014/2201,Marta,Cajkovicová,Sklárová 341,96901
945609/1818,Beáta,Pucherová,Koceková 40,01001
955409/8116,Alica,Zajacová,Vencelová 287,95801
576109/6422,Simona,Molnárová,Hanaková 540,91101
876123/9029,Jana,Hostáková,Dusíková 129,04001
585604/3175,Natália,Tatárová,Orlíková 646,03601
925808/1415,Katarína,Puškárová,Zajacová 27,05801
685526/6190,Patrícia,Hliníková,Kolníková 874,03601
775413/8985,Jana,Koceková,Balogová 213,05801
875228/1487,Eleonóra,Cajkovicová,Simonová 897,95801
905405/2654,Jana,Kovácová,Galíková 537,01001
975821/2915,Klára,Smreková 18,Pestrá,01001
615113/5369,Romana,Tomaneková,Balážová 929,96001
895403/8939,Lenka,Abrahámová,Chovanová 889,01001
896207/6229,Jana,Heretiková,Klapacová 142,97101
665517/9113,Vlasta,Hostáková,Tatárová 531,95801
655404/2617,Denisa,Pucherová,Dusíková 831,91101
575103/6574,Sofia,Jánošová,Sklárová 422,90101
955209/2696,Alica,Holíceková,Gálisová 697,03861
996117/1748,Petra,Balogová,Dullová 537,03601
785627/2499,Vieroslava,Kováciková,Svrbíková 860,03601
815112/1953,Nina,Kozmonová,Tóthová 997,03601
905328/9445,Lenka,Maceková,Hanaková 418,01001
555225/8349,Michaela,Kozmonová,Hudáková 895,95801
785904/3906,Paulína,Pavlíková,Lojová 924,08001
915503/6036,Sofia,Jurášová,Lojová 140,96001
546020/5918,Tamara,Gálisová,Holíceková 863,03601
886127/3802,Natália,Zubeková,Hanaková 986,96001
626223/6640,Perla,Cerníková,Maderová 937,05801
545823/6769,Vieroslava,Sklárová,Sklárová 632,96901
515127/4342,Lívia,Nováková,Molnárová 64,04001
955224/3195,Ida,Nováková,Šimová 9,05801
535902/9033,Sona,Tóthová,Hliníková 541,96901
655807/8499,Lucia,Rosová,Maceková 583,95801
796023/7711,Jana,Pavelová,Luptáková 278,96001
675105/9481,Romana,Lojová,Karulová 855,05801
615823/4145,Jarmila,Abrahámová,Gajdošová 704,08001
735912/5472,Paulína,Hliníková,Kováciková 827,91101
576223/3296,Marcela,Hostáková,Jakabová 533,97101
806225/1679,Eva,Dullová,Bezáková 675,96001
835209/5311,Hana,Heretiková,Murinová 264,03861
936122/6931,Vilma,Šimová,Finková 628,95801
925726/9748,Jana,Markovicová,Jurovicová 168,97101
935221/9028,Malvína,Chovanová,Orlíková 967,91101
995712/4936,Malvína,Zubeková,Murinová 32,03861
695815/2554,Silvia,Jurovicová,Šimová 675,96901
825501/7620,Natália,Nováková,Jurovicová 375,03861
635104/8196,Ida,Richtárová,Kyselová 358,91101
745807/2341,Nina,Jurovicová,Kolníková 427,08001
845515/6572,Lívia,Jurovicová,Pavlíková 236,95801
925321/7172,Alica,Horváthová,Havranová 339,04001
555103/9510,Bohumila,Valachová,Martánová 303,90101
895823/8944,Daniela,Hanaková,Molnárová 539,97101
745128/6376,Jana,Molnárová,Chovanová 492,95801
585420/8396,Tatiana,Sklárová,Kováciková 735,05801
946221/1991,Ivana,Koceková,Havranová 875,04001
836021/1148,Linda,Hudáková,Horváthová 130,96001
546202/7403,Lenka,Sklárová,Luptáková 455,97401
935521/2237,Terézia,Murinová,Tóthová 8,03861
625710/2293,Dana,Jurovicová,Martinová 754,95801
905818/7482,Jana,Markovicová,Žigmundová 348,96901
615117/7881,Lenka,Koceková,Mikuláková 162,01001
915303/5141,Lívia,Ondrášová,Žigmundová 596,91101
805118/5032,Zora,Zipserová,Luptáková 316,96901
506223/2208,Daniela,Martánová,Šimová 358,04001
785812/7973,Katarína,Markovicová,Horváthová 385,95801
846003/4815,Eva,Koceková,Karulová 247,97101
805126/9184,Tatiana,Kolníková,Fischerová 843,97101
945401/9924,Vilma,Pavlíková,Sklárová 611,91101
896103/5370,Mária,Nováková,Horváthová 594,05801
815219/3941,Veronika,Kovácová,Šimová 957,05801
545116/4760,Žaneta,Nováková,Nováková 694,08001
915722/3940,Natália,Martánová,Chovanová 114,91101
656120/4183,Lujza,Mráziková,Kocová 334,05801
615823/2742,Mária,Finková,Mráziková 710,03601
925903/3166,Sofia,Mráziková,Dusíková 302,96001
715726/6605,Eva,Galíková,Némethová 632,01001
746207/8483,Alexandra,Pavlíková,Hostáková 934,95801
855607/7281,Jaroslava,Heretiková,Tomaneková 250,04001
806113/8017,Romana,Tatárová,Nováková 156,90101
765209/5050,Dorota,Richtárová,Molnárová 542,08001
635627/9353,Darina,Bezáková,Konrádová 693,90101
546223/5783,Vladimíra,Sklárová,Zajacová 717,05801
925121/2635,Vilma,Maceková,Marcinová 379,03861
595725/8132,Lenka,Holíceková,Nováková 387,04001
815725/1189,Eva,Heretiková,Heretiková 898,05801
805818/7759,Blažena,Holíceková,Pucherová 956,91101
805601/5636,Veronika,Svrbíková,Kufová 278,05801
775517/4924,Beáta,Rosová,Maderová 327,91101
696020/8928,Romana,Kyselová,Nováková 848,05801
745126/6409,Ida,Farkašová,Šimová 79,97101
716023/5800,Veronika,Karulová,Kozmonová 572,91101
936021/5091,Veronika,Dullová,Hanaková 947,04001
826010/7161,Bohuslava,Móricová,Simonová 330,01001
865418/4173,Ida,Jurášová,Hudáková 605,05801
836224/9935,Lujza,Simonová,Molnárová 697,08001
685206/3281,Michaela,Maderová,Rosová 951,96901
955323/9122,Mária,Pavlíková,Kováciková 309,90101
526214/6509,Sára,Zipserová,Kufová 259,95801
825605/8478,Daniela,Trlíková,Urbanová 159,96901
625602/5428,Lubica,Urbanová,Nováková 490,97101
995209/9969,Eliška,Koceková,Danová 624,05801
595120/4759,Laura,Mráziková,Konrádová 918,03601
716213/2624,Miriama,Bartošová,Jurášová 228,97401
585916/2437,Milena,Gajdošová,Dusíková 95,01001
966208/9121,Andrea,Bartošová,Martinová 690,95801
825427/2636,Diana,Pucherová,Bartošová 10,96901
536024/3277,Miriama,Abrahámová,Farkašová 184,95801
965313/7047,Renáta,Nováková,Martánová 735,96901
756008/4466,Irena,Papová,Valachová 932,97101
615117/7394,Alena,Marcinová,Heretiková 889,03861
895811/4902,Zoja,Trlíková,Murinová 746,97101
755107/2530,Vieroslava,Hostáková,Kufová 225,01001
945412/5789,Nina,Svrbíková,Kozmonová 250,08001
955410/6975,Nina,Urbanová,Zipserová 876,08001
576209/2717,Natália,Martánová,Papová 293,01001
655916/7381,Lenka,Hostáková,Galíková 786,95801
935326/9553,Jaroslava,Pavelová,Simonová 989,01001
585616/9409,Valentína,Oláhová,Horváthová 384,08001
596014/5649,Vladimíra,Kováciková,Vencelová 655,96001
645324/6453,Jaroslava,Hanaková,Markovicová 347,08001
996005/6994,Lubica,Tóthová,Zubeková 675,95801
706024/2335,Darina,Maderová,Kocová 711,91101
655107/8428,Anežka,Farkašová,Holíceková 783,03861
546220/5268,Dana,Kyselová,Kufová 552,03601
825918/7092,Veronika,Bakošová,Simonová 253,01001
785514/4220,Ivana,Kozmonová,Simonová 206,96901
865326/6528,Žofia,Marcinová,Hudáková 965,96001
506119/5953,Ivana,Skokanová,Murinová 242,96901
925513/1319,Erika,Konrádová,Puškárová 537,04001
786213/5897,Blažena,Pavlíková,Tatárová 21,03601
605724/2389,Ivana,Hostáková,Horváthová 584,03601
925606/6702,Sára,Kufová,Hudáková 126,04001
796212/8783,Alica,Martinová,Žigmundová 620,91101
876114/5199,Katarína,Nováková,Mráziková 244,05801
696109/5517,Romana,Maderová,Puškárová 170,05801
905819/3958,Matilda,Pavelová,Trlíková 851,01001
745826/7444,Lenka,Valachová,Horváthová 103,04001
975222/2610,Linda,Nováková,Zipserová 495,08001
766215/5646,Katarína,Gálisová,Balážová 598,97101
895523/9715,Veronika,Richtárová,Richtárová 427,96901
925722/8167,Ivana,Chovanová,Kyselová 428,01001
606219/7101,Katarína,Havranová,Némethová 298,01001
755623/7872,Veronika,Bartošová,Pavelová 282,03601
615601/4378,Eva,Simonová,Zipserová 531,08001
825705/2523,Vlasta,Cerníková,Horváthová 337,01001
905520/9295,Jana,Gálisová,Lojová 962,03601
925525/9740,Lenka,Vencelová,Cerníková 876,05801
645317/2991,Henrieta,Danová,Klapacová 153,05801
855922/8689,Eleonóra,Puškárová,Maderová 692,05801
815613/7377,Milena,Jánošová,Richtárová 689,97101
766024/9850,Simona,Kováciková,Pucherová 807,96901
645718/4323,Edita,Kováciková,Kováciková 204,95801
685810/7941,Nina,Némethová,Kovácová 114,05801
645318/2418,Diana,Kyselová,Danová 765,90101
596211/4807,Eva,Palovicová,Kozmonová 898,03601
706204/9590,Laura,Kovácová,Oláhová 166,08001
525225/9458,Lenka,Jurovicová,Farkašová 567,91101
805913/7052,Natália,Lukácová,Nováková 75,96901
875619/6030,Natália,Pavelová,Farkašová 249,04001
615401/4541,Vieroslava,Nezvalová,Sklárová 880,03601
636025/2870,Daniela,Kozmonová,Bezáková 409,03601
695503/8677,Lívia,Mikuláková,Jánošová 950,04001
885101/5911,Sona,Cígerová,Tušová 564,97401
955814/6251,Vlasta,Tušová,Balážová 311,08001
545213/6080,Lenka,Zipserová,Cígerová 752,96001
705228/4772,Nina,Zipserová,Maderová 870,91101
995816/5026,Žofia,Bakošová,Tóthová 774,05801
766107/6839,Veronika,Orlíková,Finková 974,04001
745113/2593,Paulína,Zubeková,Lojová 671,95801
915319/8601,Bohumila,Dusíková,Klapacová 701,91101
896208/8032,Veronika,Danová,Kyselová 246,04001
925220/3551,Lujza,Palovicová,Tóthová 137,04001
885208/2236,Alica,Dullová,Cajkovicová 321,95801
865521/3574,Iveta,Kocová,Dullová 145,04001
935725/6421,Perla,Dullová,Mikuláková 424,96901
875823/8659,Ema,Molnárová,Jánošová 676,95801
605303/3771,Milena,Nováková,Némethová 977,96901
735814/9748,Eva,Martánová,Kollárová 320,03861
925103/7556,Veronika,Kollárová,Luptáková 719,96001
725514/5027,Dorota,Zipserová,Galíková 811,03601
715107/1388,Vlasta,Nováková,Lukácová 251,97101
865125/5246,Paulína,Móricová,Kocová 138,95801
645919/4261,Agáta,Móricová,Holíceková 574,03861
585911/7538,Petra,Pucherová,Balážová 366,01001
695114/4118,Elena,Tomaneková,Kufová 433,03861
725801/2700,Eva,Lojová,Némethová 57,96001
745608/7260,Iveta,Kocová,Hanaková 51,03861
585412/5591,Ida,Markovicová,Tušová 214,04001
736115/8423,Tatiana,Nováková,Móricová 647,96901
755825/9856,Veronika,Nezvalová,Konrádová 3,91101
665508/2996,Jarmila,Bartošová,Konrádová 248,96001
795817/4484,Veronika,Marcinová,Nováková 374,97401
536107/1543,Ida,Mikuláková,Koceková 122,96001
615421/3909,Bohuslava,Hliníková,Molnárová 75,91101
566218/1987,Nikola,Hanaková,Nováková 455,08001
795704/1679,Nataša,Nováková,Pavlíková 669,08001
566216/7747,Lea,Valachová,Holíceková 231,97401
575520/3988,Katarína,Jurášová,Horváthová 522,96001
825925/9002,Veronika,Simonová,Jurášová 649,97101
745212/6274,Lucia,Pavelová,Finková 337,08001
875217/8873,Lenka,Kozmonová,Nováková 786,08001
505610/2496,Katarína,Hanaková,Oláhová 444,90101
735511/7172,Jana,Tatárová,Maceková 577,95801
826018/3727,Alica,Nováková,Fischerová 686,01001
816012/4814,Sona,Ondrášová,Kufová 74,91101
865307/7058,Eva,Pucherová,Gálisová 678,03861
995909/5613,Daniela,Jurovicová,Nováková 459,95801
716125/7190,Eva,Molnárová,Bezáková 222,96001
525113/9871,Ivana,Cajkovicová,Poláková 203,90101
875806/6474,Sofia,Farkašová,Nováková 718,03861
965714/2127,Mária,Simonová,Simonová 52,08001
955301/3909,Lívia,Poláková,Zubeková 171,97101
706015/7647,Nina,Abrahámová,Skokanová 105,97401
995524/6085,Vieroslava,Karulová,Tomaneková 624,03601
616014/1467,Veronika,Kozmonová,Nováková 730,91101
535622/8514,Perla,Pavlíková,Cajkovicová 168,05801
725726/4466,Natália,Kozmonová,Sklárová 124,05801
665704/7899,Lucia,Bartošová,Pucherová 843,03601
705716/2509,Agáta,Tatárová,Farkašová 238,03601
625108/2407,Dana,Dullová,Nováková 105,97101
755604/9834,Viktória,Žigmundová,Karulová 650,95801
815212/7588,Alena,Bartošová,Heretiková 644,03861
686209/1291,Karolína,Jakabová,Nezvalová 506,03861
565411/2178,Natália,Fischerová,Zipserová 897,04001
935708/2647,Ivana,Skokanová,Pavelová 885,03601
845906/5022,Bohuslava,Kufová,Kocová 630,04001
715710/4554,Renáta,Puškárová,Martánová 840,01001
975915/4719,Tatiana,Lukácová,Tóthová 969,03861
995224/2283,Erika,Maderová,Bezáková 917,95801
555413/2772,Natália,Holíceková,Móricová 339,08001
745805/9875,Ivana,Dullová,Murinová 78,01001
825501/8403,Tatiana,Lojová,Kolníková 198,96901
655403/5440,Miriama,Papová,Konrádová 116,96001
Radovan    ,Novák,901210/1352,Hostáková 264,90101
Bohumil    ,Tomanek,650513/1500,Jánošová 114,90101
766226/6563,Silvia,Tatárová,Luptáková 60,97101
746110/4555,Malvína,Kocová,Abrahámová 754,96901
895715/7189,Bohdana,Klapacová,Nezvalová 117,95801
506216/9711,Jana,Karulová,Kolníková 251,95801
535604/6799,Natália,Cajkovicová,Konrádová 873,05801
585926/9365,Michaela,Jakabová,Klapacová 243,91101
935907/6442,Michaela,Jakabová,Tomaneková 451,95801
736108/9312,Edita,Rosová,Nezvalová 49,03601
856119/8895,Sona,Richtárová,Nováková 867,03601
825623/7648,Ela,Balogová,Marcinová 971,03601
865111/5962,Drahomíra,Hudáková,Heretiková 969,96901
866018/9356,Lenka,Bartošová,Nováková 826,97401
535302/5655,Perla,Zajacová,Fischerová 457,97101
845815/9062,Elena,Finková,Kocová 660,96001
555601/5421,Lujza,Hostáková,Pucherová 828,95801
925510/6723,Hana,Trlíková,Vencelová 246,05801
506017/3229,Michaela,Kolníková,Kyselová 526,95801
835102/2469,Lenka,Nováková,Valachová 603,97401
546203/9851,Kristína,Gálisová,Jurovicová 354,08001
945609/1506,Vladimíra,Kozmonová,Kocová 122,01001
675117/2490,Kristína,Martánová,Zipserová 108,03861
935913/7856,Daniela,Móricová,Chovanová 565,03601
685724/1294,Nina,Nováková,Móricová 863,96001
835628/1501,Vanesa,Hostáková,Simonová 856,96901
675105/3546,Miroslava,Valachová,Chovanová 831,96901
625512/9787,Dana,Oláhová,Sklárová 802,96901
595718/9778,Ingrida,Gálisová,Marcinová 95,96901
825817/3520,Ida,Fischerová,Cígerová 318,08001
595626/3781,Sona,Nováková,Zubeková 591,03861
626223/1245,Lenka,Nezvalová,Pucherová 727,05801
705504/3090,Erika,Svrbíková,Kolníková 907,08001
545213/5197,Monika,Šimová,Koceková 266,91101
706223/2771,Sona,Kyselová,Kufová 394,04001
705921/4926,Lenka,Jakabová,Galíková 802,03601
715913/6284,Tatiana,Móricová,Kovácová 656,90101
905504/2099,Jana,Konrádová,Bakošová 439,91101
625625/3500,Tatiana,Cajkovicová,Balogová 570,96901
805226/6354,Nataša,Luptáková,Nováková 5,90101
725824/4259,Jarmila,Móricová,Dullová 44,95801
915926/5661,Nina,Cajkovicová,Cerníková 136,03861
705106/4745,Jana,Kyselová,Jánošová 524,90101
655811/1797,Alica,Fischerová,Klapacová 415,01001
936211/4101,Lenka,Nezvalová,Dusíková 384,95801
535927/8316,Žofia,Karulová,Pavelová 977,95801
925322/5464,Nina,Zipserová,Jurášová 973,03601
975521/2757,Lenka,Mráziková,Heretiková 975,03861
505601/9231,Lenka,Nováková,Trlíková 987,95801
645915/3648,Simona,Cajkovicová,Hliníková 614,04001
535614/8621,Svetlana,Balogová,Tomaneková 194,03861
565911/1360,Vlasta,Nováková,Balážová 277,95801
585727/6020,Henrieta,Pavelová,Hanaková 656,96901
525509/3454,Daniela,Móricová,Bartošová 669,97401
945312/5865,Zoja,Kolníková,Balogová 386,90101
805213/5392,Eva,Orlíková,Šimová 826,96901
935524/3516,Lenka,Dusíková,Holíceková 26,96901
645318/5768,Silvia,Šimová,Hliníková 441,03601
985804/1329,Helena,Poláková,Kozmonová 624,96901
605218/8099,Antónia,Dusíková,Jánošová 910,96901
985602/1866,Agáta,Oláhová,Némethová 89,97101
766009/4216,Jana,Cajkovicová,Mráziková 769,05801
666110/2544,Etela,Vencelová,Danová 411,03861
545209/3115,Eliška,Hostáková,Kozmonová 747,91101
575326/5226,Nina,Hostáková,Nováková 559,97401
935917/9701,Ivana,Rosová,Kováciková 590,91101
576219/6828,Antónia,Cerníková,Danová 628,03601
575316/4322,Vlasta,Nováková,Móricová 426,03601
515707/9452,Helena,Hostáková,Skokanová 929,03861
916110/2995,Edita,Nezvalová,Kozmonová 207,95801
506105/1955,Paulína,Molnárová,Galíková 868,03861
635113/9052,Daniela,Dusíková,Martinová 469,97401
856018/7280,Marta,Zajacová,Bartošová 91,95801
875110/8249,Lenka,Orlíková,Dusíková 341,91101
715606/3829,Bohdana,Lojová,Trlíková 54,96001
515103/1717,Katarína,Martinová,Cajkovicová 580,01001
755906/6643,Alexandra,Urbanová,Holíceková 538,01001
715313/1899,Lenka,Molnárová,Poláková 592,96901
716028/3076,Bohuslava,Dullová,Maderová 426,01001
585910/2255,Jana,Rosová,Kolníková 724,05801
655323/7092,Anežka,Pucherová,Maceková 938,95801
575809/6734,Vanda,Danová,Zajacová 287,96901
635203/9645,Silvia,Klapacová,Danová 970,91101
545807/7134,Renáta,Cígerová,Tomaneková 537,96901
635618/1745,Veronika,Svrbíková,Hudáková 524,03861
555816/6720,Lenka,Hanaková,Nováková 538,05801
826201/6656,Eleonóra,Cajkovicová,Bezáková 215,97101
515803/6931,Gabriela,Palovicová,Havranová 687,95801
876215/9747,Denisa,Luptáková,Kováciková 808,96001
625406/9223,Natália,Richtárová,Holíceková 34,90101
865104/9745,Viktória,Gálisová,Zubeková 719,01001
796011/4410,Sofia,Nováková,Kováciková 758,97401
526003/9851,Etela,Palovicová,Murinová 142,01001
835907/2580,Bohumila,Ondrášová,Fischerová 648,90101
735814/4870,Zuzana,Martinová,Tóthová 463,04001
916220/1381,Miroslava,Lukácová,Abrahámová 764,04001
615818/2278,Dorota,Heretiková,Oláhová 9,95801
805607/8770,Kristína,Tomaneková,Kocová 733,03601
975305/8817,Miloslava,Galíková,Dusíková 183,96901
606128/6216,Tamara,Finková,Mráziková 653,97401
526125/2453,Alica,Rosová,Bezáková 504,96001
656214/1560,Svetlana,Abrahámová,Cajkovicová 791,03601
655102/2519,Agáta,Skokanová,Šimová 442,01001
805217/7555,Sona,Tušová,Simonová 476,04001
715721/6160,Darina,Pavelová,Kollárová 351,97401
505423/1573,Alica,Tomaneková,Mikuláková 685,97101
836215/7969,Darina,Kollárová,Pavelová 172,97101
536111/3535,Bohumila,Šimová,Zipserová 306,95801
885812/5441,Lenka,Kollárová,Havranová 922,97101
765419/5776,Lenka,Cerníková,Šimová 97,08001
916125/5744,Eva,Maceková,Cígerová 661,97101
655322/8072,Kristína,Cígerová,Tušová 287,91101
565105/1176,Ivana,Orlíková,Holíceková 788,96901
606218/8140,Veronika,Hanaková,Kovácová 658,08001
755825/2468,Jarmila,Pucherová,Kufová 378,03861
525503/2673,Kristína,Dullová,Murinová 479,97401
725415/3463,Lubica,Cígerová,Palovicová 655,04001
745723/5315,Nina,Pucherová,Lukácová 539,08001
715928/9525,Dáša,Tomaneková,Richtárová 986,97101
585816/6109,Veronika,Lukácová,Galíková 480,03861
705114/4106,Veronika,Farkašová,Svrbíková 111,97101
526006/8395,Lenka,Zubeková,Hanaková 269,08001
